,Class,SubClass,Name,Type,Item,Content,Rank,Average,123123
31,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],脂肪酸,合计(Total),99.2%,16,76.4%,
0,菌藻类,菌类,金针菇[智力菇](鲜),类型,项目,含量,同类排名,同类均值,含量水平
1,菌藻类,菌类,金针菇[智力菇](鲜),能量与相关成分,食部(Edible),100%,1,97%,
2,菌藻类,菌类,金针菇[智力菇](鲜),能量与相关成分,水分(Water),90.2g,8,43.3g,
3,菌藻类,菌类,金针菇[智力菇](鲜),能量与相关成分,能量(Energy),158kJ,26,917kJ,
4,菌藻类,菌类,金针菇[智力菇](鲜),能量与相关成分,蛋白质(Protein),2.4g,29,13.9g,
5,菌藻类,菌类,金针菇[智力菇](鲜),能量与相关成分,脂肪(Fat),0.4g,23,3.7g,
6,菌藻类,菌类,金针菇[智力菇](鲜),能量与相关成分,胆固醇(Cholesterol),,,,
7,菌藻类,菌类,金针菇[智力菇](鲜),能量与相关成分,灰分(Ash),1.0g,23,4.7g,
8,菌藻类,菌类,金针菇[智力菇](鲜),能量与相关成分,碳水化合物(CHO),6.0g,24,34.5g,
9,菌藻类,菌类,金针菇[智力菇](鲜),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,菌藻类,菌类,金针菇[智力菇](鲜),维生素,胡萝卜素(Carotene),30.0μg,11,112.3μg,
11,菌藻类,菌类,金针菇[智力菇](鲜),维生素,维生素A(Vitamin),,,,
12,菌藻类,菌类,金针菇[智力菇](鲜),维生素,α-TE,—,,,
13,菌藻类,菌类,金针菇[智力菇](鲜),维生素,硫胺素(Thiamin),0.15mg,10,0.12mg,
14,菌藻类,菌类,金针菇[智力菇](鲜),维生素,核黄素(Riboflavin),0.19mg,27,1.03mg,
15,菌藻类,菌类,金针菇[智力菇](鲜),维生素,烟酸(Niacin),4.10mg,20,14.59mg,
16,菌藻类,菌类,金针菇[智力菇](鲜),维生素,维生素C(Vitamin C),2.0mg,6,0.9mg,
17,菌藻类,菌类,金针菇[智力菇](鲜),矿物质,钙(Ca),,,,
18,菌藻类,菌类,金针菇[智力菇](鲜),矿物质,磷(P),97mg,19,338mg,
19,菌藻类,菌类,金针菇[智力菇](鲜),矿物质,钾(K),195mg,28,1342mg,
20,菌藻类,菌类,金针菇[智力菇](鲜),矿物质,钠(Na),4.3mg,23,56.4mg,
21,菌藻类,菌类,金针菇[智力菇](鲜),矿物质,镁(Mg),17mg,22,60mg,
22,菌藻类,菌类,金针菇[智力菇](鲜),矿物质,铁(Fe),1.4mg,26,28.8mg,
23,菌藻类,菌类,金针菇[智力菇](鲜),矿物质,锌(Zn),0.39mg,32,3.84mg,
24,菌藻类,菌类,金针菇[智力菇](鲜),矿物质,硒(Se),0.30μg,28,37.39μg,
25,菌藻类,菌类,金针菇[智力菇](鲜),矿物质,铜(Cu),0.14mg,28,1.44mg,
26,菌藻类,菌类,金针菇[智力菇](鲜),矿物质,锰(Mn),0.10mg,29,2.15mg,
27,菌藻类,菌类,金针菇[智力菇](鲜),矿物质,碘(I),,,,
28,菌藻类,菌类,金针菇[智力菇](鲜),脂肪酸,饱和脂肪酸(SFA),—,,,
29,菌藻类,菌类,金针菇[智力菇](鲜),脂肪酸,单不饱和脂肪酸(MUFA),—,,,
30,菌藻类,菌类,金针菇[智力菇](鲜),脂肪酸,多不饱和脂肪酸(PUFA),—,,,
31,菌藻类,菌类,金针菇[智力菇](鲜),脂肪酸,合计(Total),—,,,
0,干豆类及制品,大豆,豆腐(均值),类型,项目,含量,同类排名,同类均值,含量水平
1,干豆类及制品,大豆,豆腐(均值),能量与相关成分,食部(Edible),100%,1,100%,
2,干豆类及制品,大豆,豆腐(均值),能量与相关成分,水分(Water),82.8g,7,51.4g,
3,干豆类及制品,大豆,豆腐(均值),能量与相关成分,能量(Energy),346kJ,18,959kJ,
4,干豆类及制品,大豆,豆腐(均值),能量与相关成分,蛋白质(Protein),8.1g,18,19.5g,
5,干豆类及制品,大豆,豆腐(均值),能量与相关成分,脂肪(Fat),3.7g,14,8.6g,
6,干豆类及制品,大豆,豆腐(均值),能量与相关成分,胆固醇(Cholesterol),,,,
7,干豆类及制品,大豆,豆腐(均值),能量与相关成分,灰分(Ash),1.2g,17,2.4g,
8,干豆类及制品,大豆,豆腐(均值),能量与相关成分,碳水化合物(CHO),4.2g,16,18.2g,
9,干豆类及制品,大豆,豆腐(均值),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,干豆类及制品,大豆,豆腐(均值),维生素,胡萝卜素(Carotene),,,,
11,干豆类及制品,大豆,豆腐(均值),维生素,维生素A(Vitamin),,,,
12,干豆类及制品,大豆,豆腐(均值),维生素,α-TE,—,,,
13,干豆类及制品,大豆,豆腐(均值),维生素,硫胺素(Thiamin),0.04mg,13,0.12mg,
14,干豆类及制品,大豆,豆腐(均值),维生素,核黄素(Riboflavin),0.03mg,17,0.09mg,
15,干豆类及制品,大豆,豆腐(均值),维生素,烟酸(Niacin),0.20mg,21,0.90mg,
16,干豆类及制品,大豆,豆腐(均值),维生素,维生素C(Vitamin C),,,,
17,干豆类及制品,大豆,豆腐(均值),矿物质,钙(Ca),164mg,11,143mg,
18,干豆类及制品,大豆,豆腐(均值),矿物质,磷(P),119mg,15,197mg,
19,干豆类及制品,大豆,豆腐(均值),矿物质,钾(K),125mg,14,439mg,
20,干豆类及制品,大豆,豆腐(均值),矿物质,钠(Na),7.2mg,13,59.1mg,
21,干豆类及制品,大豆,豆腐(均值),矿物质,镁(Mg),27mg,20,80mg,
22,干豆类及制品,大豆,豆腐(均值),矿物质,铁(Fe),1.9mg,18,5.5mg,
23,干豆类及制品,大豆,豆腐(均值),矿物质,锌(Zn),1.11mg,15,1.73mg,
24,干豆类及制品,大豆,豆腐(均值),矿物质,硒(Se),2.30μg,10,2.42μg,
25,干豆类及制品,大豆,豆腐(均值),矿物质,铜(Cu),0.27mg,15,0.84mg,
26,干豆类及制品,大豆,豆腐(均值),矿物质,锰(Mn),0.47mg,18,1.30mg,
27,干豆类及制品,大豆,豆腐(均值),矿物质,碘(I),,,,
28,干豆类及制品,大豆,豆腐(均值),脂肪酸,饱和脂肪酸(SFA),15.1%,13,14.1%,
29,干豆类及制品,大豆,豆腐(均值),脂肪酸,单不饱和脂肪酸(MUFA),21.8%,10,19.7%,
30,干豆类及制品,大豆,豆腐(均值),脂肪酸,多不饱和脂肪酸(PUFA),60.7%,10,53.0%,
31,干豆类及制品,大豆,豆腐(均值),脂肪酸,合计(Total),97.6%,15,86.8%,
0,速食食品,快餐食品,新奥尔良鸡翅(肯德基),类型,项目,含量,同类排名,同类均值,含量水平
1,速食食品,快餐食品,新奥尔良鸡翅(肯德基),能量与相关成分,食部(Edible),70%,23,97%,
2,速食食品,快餐食品,新奥尔良鸡翅(肯德基),能量与相关成分,水分(Water),54.1g,4,47.8g,
3,速食食品,快餐食品,新奥尔良鸡翅(肯德基),能量与相关成分,能量(Energy),1002kJ,19,1114kJ,
4,速食食品,快餐食品,新奥尔良鸡翅(肯德基),能量与相关成分,蛋白质(Protein),22.1g,1,12.7g,
5,速食食品,快餐食品,新奥尔良鸡翅(肯德基),能量与相关成分,脂肪(Fat),13.8g,11,13.1g,
6,速食食品,快餐食品,新奥尔良鸡翅(肯德基),能量与相关成分,胆固醇(Cholesterol),125mg,1,30mg,
7,速食食品,快餐食品,新奥尔良鸡翅(肯德基),能量与相关成分,灰分(Ash),3.2g,1,2.1g,
8,速食食品,快餐食品,新奥尔良鸡翅(肯德基),能量与相关成分,碳水化合物(CHO),6.8g,24,24.5g,
9,速食食品,快餐食品,新奥尔良鸡翅(肯德基),能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,速食食品,快餐食品,新奥尔良鸡翅(肯德基),维生素,胡萝卜素(Carotene),—,,,
11,速食食品,快餐食品,新奥尔良鸡翅(肯德基),维生素,维生素A(Vitamin),332.0μg,1,40.8μg,
12,速食食品,快餐食品,新奥尔良鸡翅(肯德基),维生素,α-TE,0.41mg,2,0.12mg,
